# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 FPKM in experiment E-MTAB-4729
# Selected columns: 3 (all)
# Timestamp: Tue, 15-Aug-2017 15:31:12
Gene ID	Gene Name	A549	BEAS-2B	NHBE
ENSG00000136908	DPM2	10.0	10.0	11.0
ENSG00000136918	WDR38	0.3	0.5	0.2
ENSG00000136925	TSTD2	7.0	7.0	6.0
ENSG00000136928	GABBR2	0.1		
ENSG00000136930	PSMB7	95.0	128.0	68.0
ENSG00000136932	TRMO	4.0	5.0	2.0
ENSG00000136933	RABEPK	19.0	15.0	4.0
ENSG00000136935	GOLGA1	5.0	4.0	3.0
ENSG00000136936	XPA	6.0	9.0	4.0
ENSG00000136937	NCBP1	21.0	18.0	6.0
ENSG00000136938	ANP32B	118.0	152.0	96.0
ENSG00000136940	PDCL	8.0	8.0	5.0
ENSG00000136942	RPL35	561.0	1063.0	603.0
ENSG00000136943	CTSV	1.0	11.0	5.0
ENSG00000136944	LMX1B	0.6		
ENSG00000136950	ARPC5L	10.0	14.0	27.0
ENSG00000136982	DSCC1	5.0	13.0	0.4
ENSG00000136986	DERL1	16.0	10.0	21.0
ENSG00000136997	MYC	48.0	20.0	68.0
ENSG00000136999	NOV	1.0	0.1	
ENSG00000137033	IL33	1.0		0.7
ENSG00000137038	TMEM261	27.0	32.0	15.0
ENSG00000137040	RANBP6	7.0	10.0	5.0
ENSG00000137054	POLR1E	15.0	17.0	6.0
ENSG00000137055	PLAA	10.0	10.0	7.0
ENSG00000137070	IL11RA	0.6	2.0	0.1
ENSG00000137073	UBAP2	4.0	4.0	5.0
ENSG00000137074	APTX	17.0	26.0	12.0
ENSG00000137075	RNF38	3.0	2.0	4.0
ENSG00000137076	TLN1	35.0	23.0	27.0
ENSG00000137094	DNAJB5	0.4	3.0	3.0
ENSG00000137098	SPAG8	0.1	0.3	
ENSG00000137100	DCTN3	10.0	47.0	5.0
ENSG00000137101	CD72	0.1	0.4	0.3
ENSG00000137103	TMEM8B	0.8	2.0	3.0
ENSG00000137106	GRHPR	18.0	33.0	7.0
ENSG00000137124	ALDH1B1	39.0	19.0	4.0
ENSG00000137133	HINT2	15.0	31.0	3.0
ENSG00000137135	ARHGEF39	2.0	2.0	
ENSG00000137142	IGFBPL1	3.0	0.4	
ENSG00000137145	DENND4C	8.0	5.0	9.0
ENSG00000137154	RPS6	1395.0	2285.0	892.0
ENSG00000137161	CNPY3	28.0	29.0	15.0
ENSG00000137166	FOXP4	8.0	4.0	11.0
ENSG00000137168	PPIL1	49.0	134.0	17.0
ENSG00000137171	KLC4	1.0	2.0	1.0
ENSG00000137177	KIF13A	6.0	3.0	9.0
ENSG00000137185	ZSCAN9	2.0	4.0	2.0
ENSG00000137193	PIM1	5.0	6.0	27.0
ENSG00000137198	GMPR	0.1	4.0	0.1
ENSG00000137200	CMTR1	6.0	10.0	6.0
ENSG00000137203	TFAP2A	3.0	4.0	14.0
ENSG00000137207	YIPF3	19.0	18.0	33.0
ENSG00000137210	TMEM14B	20.0	77.0	10.0
ENSG00000137216	TMEM63B	7.0	8.0	19.0
ENSG00000137218	FRS3	1.0	2.0	0.9
ENSG00000137221	TJAP1	2.0	4.0	4.0
ENSG00000137261	KIAA0319	1.0		
ENSG00000137266	SLC22A23	2.0	1.0	5.0
ENSG00000137267	TUBB2A	10.0	10.0	16.0
ENSG00000137269	LRRC1	2.0	4.0	6.0
ENSG00000137273	FOXF2	7.0		
ENSG00000137274	BPHL	5.0	3.0	1.0
ENSG00000137275	RIPK1	6.0	7.0	6.0
ENSG00000137285	TUBB2B	4.0	2.0	
ENSG00000137288	UQCC2	16.0	72.0	15.0
ENSG00000137309	HMGA1	191.0	92.0	347.0
ENSG00000137310	TCF19	3.0	26.0	1.0
ENSG00000137312	FLOT1	46.0	47.0	12.0
ENSG00000137331	IER3	74.0	27.0	440.0
ENSG00000137337	MDC1	3.0	10.0	3.0
ENSG00000137338	PGBD1	3.0	5.0	0.9
ENSG00000137343	ATAT1	1.0	2.0	1.0
ENSG00000137364	TPMT	10.0	21.0	16.0
ENSG00000137393	RNF144B	0.2	7.0	35.0
ENSG00000137404	NRM	4.0	13.0	4.0
ENSG00000137409	MTCH1	35.0	59.0	32.0
ENSG00000137411	VARS2	2.0	3.0	3.0
ENSG00000137413	TAF8	2.0	4.0	2.0
ENSG00000137414	FAM8A1	5.0	8.0	8.0
ENSG00000137434	C6orf52	2.0	4.0	1.0
ENSG00000137440	FGFBP1	0.6	70.0	54.0
ENSG00000137449	CPEB2	6.0	0.8	5.0
ENSG00000137460	FHDC1	0.1	1.0	1.0
ENSG00000137462	TLR2		2.0	1.0
ENSG00000137463	MGARP	1.0	24.0	0.2
ENSG00000137474	MYO7A	0.4	0.1	
ENSG00000137478	FCHSD2	5.0	5.0	5.0
ENSG00000137486	ARRB1	1.0	0.4	
ENSG00000137491	SLCO2B1	0.8		
ENSG00000137492	THAP12	15.0	11.0	9.0
ENSG00000137494	ANKRD42	2.0	0.9	3.0
ENSG00000137496	IL18BP	0.9	0.8	0.4
ENSG00000137497	NUMA1	6.0	8.0	10.0
ENSG00000137500	CCDC90B	13.0	16.0	7.0
ENSG00000137501	SYTL2	4.0	0.3	0.4
ENSG00000137502	RAB30	1.0	3.0	0.5
ENSG00000137504	CREBZF	13.0	6.0	5.0
ENSG00000137509	PRCP	9.0	13.0	4.0
ENSG00000137513	NARS2	12.0	13.0	4.0
ENSG00000137522	RNF121	14.0	7.0	4.0
ENSG00000137547	MRPL15	96.0	92.0	26.0
ENSG00000137561	TTPA	0.3	0.2	
ENSG00000137563	GGH	28.0	99.0	10.0
ENSG00000137571	SLCO5A1	0.1		
ENSG00000137573	SULF1		0.2	0.3
ENSG00000137574	TGS1	8.0	7.0	8.0
ENSG00000137575	SDCBP	25.0	20.0	29.0
ENSG00000137601	NEK1	2.0	3.0	3.0
ENSG00000137628	DDX60	0.7	3.0	0.8
ENSG00000137642	SORL1	0.4	0.6	2.0
ENSG00000137648	TMPRSS4			8.0
ENSG00000137656	BUD13	6.0	28.0	8.0
ENSG00000137672	TRPC6	0.2		0.6
ENSG00000137673	MMP7	7.0		
ENSG00000137691	C11orf70	5.0	8.0	3.0
ENSG00000137692	DCUN1D5	37.0	47.0	43.0
ENSG00000137693	YAP1	15.0	22.0	67.0
ENSG00000137699	TRIM29	0.3	4.0	41.0
ENSG00000137700	SLC37A4	2.0	8.0	3.0
ENSG00000137707	BTG4	0.2	0.1	0.1
ENSG00000137709	POU2F3			0.2
ENSG00000137710	RDX	80.0	39.0	21.0
ENSG00000137713	PPP2R1B	5.0	8.0	5.0
ENSG00000137714	FDX1	13.0	11.0	6.0
ENSG00000137720	C11orf1	5.0	3.0	4.0
ENSG00000137731	FXYD2	0.5		
ENSG00000137747	TMPRSS13		0.1	2.0
ENSG00000137752	CASP1	0.1	16.0	6.0
ENSG00000137757	CASP5			2.0
ENSG00000137760	ALKBH8	3.0	3.0	2.0
ENSG00000137764	MAP2K5	4.0	5.0	3.0
ENSG00000137767	SQOR	8.0	18.0	30.0
ENSG00000137770	CTDSPL2	3.0	9.0	4.0
ENSG00000137776	SLTM	11.0	5.0	14.0
ENSG00000137801	THBS1	14.0	23.0	13.0
ENSG00000137802	MAPKBP1	0.8	3.0	4.0
ENSG00000137804	NUSAP1	18.0	117.0	2.0
ENSG00000137806	NDUFAF1	9.0	7.0	7.0
ENSG00000137807	KIF23	13.0	19.0	1.0
ENSG00000137809	ITGA11	5.0		
ENSG00000137812	KNL1	2.0	6.0	0.1
ENSG00000137814	HAUS2	8.0	21.0	5.0
ENSG00000137815	RTF1	7.0	13.0	9.0
ENSG00000137817	PARP6	7.0	4.0	5.0
ENSG00000137818	RPLP1	530.0	300.0	440.0
ENSG00000137819	PAQR5	30.0	0.2	0.7
ENSG00000137821	LRRC49	2.0	2.0	0.6
ENSG00000137822	TUBGCP4	1.0	4.0	3.0
ENSG00000137824	RMDN3	3.0	5.0	5.0
ENSG00000137825	ITPKA	0.8	0.4	0.8
ENSG00000137831	UACA	4.0	3.0	3.0
ENSG00000137834	SMAD6	5.0		
ENSG00000137842	TMEM62	4.0	5.0	4.0
ENSG00000137843	PAK6		0.1	0.4
ENSG00000137845	ADAM10	15.0	5.0	13.0
ENSG00000137857	DUOX1		0.8	4.0
ENSG00000137868	STRA6	10.0		
ENSG00000137871	ZNF280D	2.0	3.0	0.8
ENSG00000137872	SEMA6D		0.1	0.5
ENSG00000137875	BCL2L10	0.1	0.5	1.0
ENSG00000137876	RSL24D1	108.0	206.0	86.0
ENSG00000137877	SPTBN5			0.1
ENSG00000137878	GCOM1	0.1	0.1	0.3
ENSG00000137880	GCHFR	2.0	13.0	4.0
ENSG00000137936	BCAR3	11.0	10.0	11.0
ENSG00000137941	TTLL7	0.3	0.6	0.1
ENSG00000137942	FNBP1L	9.0	8.0	9.0
ENSG00000137944	KYAT3	6.0	58.0	7.0
ENSG00000137947	GTF2B	13.0	42.0	10.0
ENSG00000137955	RABGGTB	15.0	37.0	21.0
ENSG00000137959	IFI44L		1.0	
ENSG00000137960	GIPC2		0.4	0.2
ENSG00000137962	ARHGAP29	4.0	13.0	3.0
ENSG00000137965	IFI44	0.1	4.0	0.3
ENSG00000137968	SLC44A5	0.1		
ENSG00000137970	RPL7P9	2.0	5.0	2.0
ENSG00000137975	CLCA2		3.0	63.0
ENSG00000137992	DBT	2.0	4.0	4.0
ENSG00000137996	RTCA	15.0	14.0	16.0
ENSG00000138002	IFT172	2.0	2.0	0.3
ENSG00000138018	SELENOI	18.0	8.0	7.0
ENSG00000138028	CGREF1	2.0	0.4	0.1
ENSG00000138029	HADHB	46.0	54.0	37.0
ENSG00000138030	KHK	3.0	2.0	0.3
ENSG00000138031	ADCY3	12.0	8.0	9.0
ENSG00000138032	PPM1B	8.0	3.0	7.0
ENSG00000138035	PNPT1	26.0	14.0	6.0
ENSG00000138036	DYNC2LI1	6.0	8.0	2.0
ENSG00000138050	THUMPD2	6.0	5.0	2.0
ENSG00000138061	CYP1B1	2.0	13.0	12.0
ENSG00000138069	RAB1A	95.0	46.0	91.0
ENSG00000138071	ACTR2	108.0	46.0	97.0
ENSG00000138073	PREB	28.0	24.0	19.0
ENSG00000138074	SLC5A6	14.0	3.0	3.0
ENSG00000138078	PREPL	16.0	11.0	13.0
ENSG00000138079	SLC3A1	0.6		
ENSG00000138080	EMILIN1	0.1	0.1	0.1
ENSG00000138081	FBXO11	15.0	8.0	14.0
ENSG00000138083	SIX3	0.2		
ENSG00000138085	ATRAID	102.0	89.0	63.0
ENSG00000138092	CENPO	9.0	8.0	0.3
ENSG00000138095	LRPPRC	57.0	26.0	22.0
ENSG00000138100	TRIM54	0.1		
ENSG00000138101	DTNB	2.0	3.0	3.0
ENSG00000138107	ACTR1A	29.0	27.0	22.0
ENSG00000138109	CYP2C9	0.1		
ENSG00000138111	MFSD13A	1.0	2.0	0.6
ENSG00000138115	CYP2C8			0.1
ENSG00000138119	MYOF	65.0	17.0	40.0
ENSG00000138131	LOXL4	1.0	0.3	0.1
ENSG00000138134	STAMBPL1	7.0	1.0	0.3
ENSG00000138138	ATAD1	22.0	14.0	23.0
ENSG00000138152	BTBD16	0.2	0.2	
ENSG00000138160	KIF11	15.0	20.0	0.8
ENSG00000138161	CUZD1	0.7	0.4	0.3
ENSG00000138162	TACC2	8.0	2.0	7.0
ENSG00000138166	DUSP5	60.0	6.0	83.0
ENSG00000138172	CALHM2	0.7	4.0	0.3
ENSG00000138175	ARL3	19.0	36.0	7.0
ENSG00000138180	CEP55	19.0	28.0	1.0
ENSG00000138182	KIF20B	4.0	6.0	0.5
ENSG00000138190	EXOC6	10.0	7.0	1.0
ENSG00000138193	PLCE1	3.0	0.3	0.1
ENSG00000138207	RBP4	17.0	0.2	
ENSG00000138231	DBR1	5.0	6.0	3.0
ENSG00000138246	DNAJC13	7.0	7.0	6.0
ENSG00000138271	GPR87	0.4	41.0	47.0
ENSG00000138279	ANXA7	64.0	91.0	44.0
ENSG00000138286	FAM149B1	3.0	4.0	3.0
ENSG00000138303	ASCC1	13.0	9.0	7.0
ENSG00000138311	ZNF365	0.4	0.3	0.2
ENSG00000138316	ADAMTS14		0.1	
ENSG00000138326	RPS24	263.0	359.0	257.0
ENSG00000138336	TET1	0.3	0.4	
ENSG00000138346	DNA2	3.0	13.0	0.4
ENSG00000138347	MYPN	2.0		
ENSG00000138356	AOX1	4.0	6.0	5.0
ENSG00000138363	ATIC	64.0	22.0	16.0
ENSG00000138375	SMARCAL1	8.0	5.0	4.0
ENSG00000138376	BARD1	2.0	6.0	0.8
ENSG00000138378	STAT4	7.0	0.9	3.0
ENSG00000138380	CARF	0.5	2.0	0.4
ENSG00000138381	ASNSD1	32.0	70.0	10.0
ENSG00000138382	METTL5	18.0	31.0	14.0
ENSG00000138385	SSB	41.0	23.0	20.0
ENSG00000138386	NAB1	13.0	8.0	13.0
ENSG00000138398	PPIG	7.0	7.0	8.0
ENSG00000138399	FASTKD1	10.0	9.0	2.0
ENSG00000138400	MDH1B	1.0	2.0	
ENSG00000138411	HECW2	0.6		
ENSG00000138413	IDH1	105.0	40.0	96.0
ENSG00000138430	OLA1	35.0	79.0	35.0
ENSG00000138433	CIR1	6.0	7.0	8.0
ENSG00000138434	SSFA2	14.0	8.0	21.0
ENSG00000138439	FAM117B	2.0	0.9	2.0
ENSG00000138442	WDR12	7.0	5.0	2.0
ENSG00000138443	ABI2	3.0	5.0	1.0
ENSG00000138448	ITGAV	54.0	16.0	23.0
ENSG00000138449	SLC40A1	11.0	0.8	0.4
ENSG00000138459	SLC35A5	13.0	26.0	7.0
ENSG00000138463	DIRC2	6.0	4.0	7.0
ENSG00000138468	SENP7	2.0	4.0	3.0
ENSG00000138495	COX17	17.0	18.0	11.0
ENSG00000138496	PARP9	2.0	3.0	1.0
ENSG00000138587	MNS1	1.0	3.0	
ENSG00000138592	USP8	6.0	3.0	3.0
ENSG00000138593	SECISBP2L	4.0	4.0	6.0
ENSG00000138594	TMOD3	27.0	12.0	25.0
ENSG00000138600	SPPL2A	13.0	7.0	8.0
ENSG00000138604	GLCE	9.0	8.0	10.0
ENSG00000138606	SHF	0.2	0.4	0.1
ENSG00000138613	APH1B	9.0	5.0	2.0
ENSG00000138614	INTS14	16.0	16.0	11.0
ENSG00000138615	CILP	0.1		0.1
ENSG00000138617	PARP16	3.0	3.0	1.0
ENSG00000138621	PPCDC	3.0	9.0	2.0
ENSG00000138622	HCN4	0.1		
ENSG00000138623	SEMA7A	0.5	2.0	2.0
ENSG00000138629	UBL7	15.0	16.0	18.0
ENSG00000138639	ARHGAP24	0.8	1.0	1.0
ENSG00000138640	FAM13A	2.0	1.0	0.6
ENSG00000138641	HERC3	1.0	3.0	7.0
ENSG00000138642	HERC6	1.0	1.0	0.5
ENSG00000138646	HERC5	2.0	0.6	0.1
ENSG00000138650	PCDH10	0.1		
ENSG00000138658	ZGRF1	0.4	3.0	
ENSG00000138660	AP1AR	8.0	10.0	15.0
ENSG00000138663	COPS4	12.0	45.0	9.0
ENSG00000138668	HNRNPD	19.0	21.0	10.0
ENSG00000138669	PRKG2	0.8	0.3	2.0
ENSG00000138670	RASGEF1B			0.7
ENSG00000138674	SEC31A	12.0	8.0	21.0
ENSG00000138675	FGF5	0.1	0.5	1.0
ENSG00000138678	GPAT3	9.0	0.4	2.0
ENSG00000138685	FGF2	17.0	3.0	5.0
ENSG00000138686	BBS7	4.0	7.0	4.0
ENSG00000138688	KIAA1109	2.0	3.0	2.0
ENSG00000138696	BMPR1B	4.0	0.1	4.0
ENSG00000138698	RAP1GDS1	10.0	22.0	15.0
ENSG00000138709	LARP1B	2.0	4.0	6.0
ENSG00000138735	PDE5A	0.2	0.5	1.0
ENSG00000138738	PRDM5	1.0	1.0	0.6
ENSG00000138744	NAAA	5.0	2.0	2.0
ENSG00000138750	NUP54	8.0	26.0	5.0
ENSG00000138756	BMP2K	3.0	2.0	6.0
ENSG00000138757	G3BP2	45.0	41.0	51.0
ENSG00000138758	SEPT11	11.0	11.0	11.0
ENSG00000138759	FRAS1	2.0	1.0	1.0
ENSG00000138760	SCARB2	29.0	26.0	49.0
ENSG00000138764	CCNG2	1.0	6.0	6.0
ENSG00000138767	CNOT6L	2.0	3.0	6.0
ENSG00000138768	USO1	41.0	23.0	39.0
ENSG00000138769	CDKL2	0.8	2.0	0.2
ENSG00000138771	SHROOM3	2.0	3.0	4.0
ENSG00000138772	ANXA3	41.0	150.0	94.0
ENSG00000138777	PPA2	18.0	54.0	19.0
ENSG00000138778	CENPE	2.0	6.0	0.2
ENSG00000138780	GSTCD	5.0	13.0	3.0
ENSG00000138785	INTS12	6.0	12.0	10.0
ENSG00000138792	ENPEP	0.1		
ENSG00000138794	CASP6	9.0	17.0	6.0
ENSG00000138795	LEF1		0.1	
ENSG00000138796	HADH	7.0	46.0	7.0
ENSG00000138798	EGF	0.2		0.1
ENSG00000138801	PAPSS1	12.0	17.0	14.0
ENSG00000138802	SEC24B	8.0	8.0	13.0
ENSG00000138814	PPP3CA	13.0	7.0	17.0
ENSG00000138821	SLC39A8	7.0	9.0	1.0
ENSG00000138829	FBN2	15.0	22.0	4.0
ENSG00000138834	MAPK8IP3	1.0	2.0	2.0
ENSG00000138835	RGS3	2.0	2.0	5.0
ENSG00000138867	GUCD1	8.0	11.0	13.0
ENSG00000138942	RNF185	13.0	17.0	43.0
ENSG00000138944	KIAA1644	0.7		
ENSG00000139044	B4GALNT3	0.1	0.3	3.0
ENSG00000139055	ERP27		0.5	0.1
ENSG00000139083	ETV6	2.0	2.0	3.0
ENSG00000139112	GABARAPL1	6.0	7.0	11.0
ENSG00000139116	KIF21A	5.0	3.0	5.0
ENSG00000139117	CPNE8	5.0	8.0	4.0
ENSG00000139131	YARS2	15.0	14.0	11.0
ENSG00000139132	FGD4	0.9	2.0	4.0
ENSG00000139133	ALG10	1.0	2.0	0.8
ENSG00000139144	PIK3C2G			0.1
ENSG00000139146	FAM60A	18.0	17.0	23.0
ENSG00000139154	AEBP2	4.0	3.0	4.0
ENSG00000139160	ETFBKMT	0.3	0.5	0.1
ENSG00000139163	ETNK1	8.0	4.0	4.0
ENSG00000139168	ZCRB1	30.0	60.0	24.0
ENSG00000139173	TMEM117	3.0	1.0	2.0
ENSG00000139174	PRICKLE1	0.3	3.0	0.4
ENSG00000139178	C1RL	5.0	6.0	5.0
ENSG00000139180	NDUFA9	6.0	12.0	2.0
ENSG00000139182	CLSTN3	2.0	6.0	1.0
ENSG00000139187	KLRG1	2.0	0.2	
ENSG00000139190	VAMP1	1.0	0.9	0.3
ENSG00000139192	TAPBPL	0.7	2.0	0.9
ENSG00000139194	RBP5		0.1	
ENSG00000139197	PEX5	6.0	4.0	5.0
ENSG00000139200	PIANP	0.1	0.9	
ENSG00000139209	SLC38A4		1.0	1.0
ENSG00000139211	AMIGO2	179.0	4.0	6.0
ENSG00000139218	SCAF11	9.0	7.0	10.0
ENSG00000139219	COL2A1		0.1	
ENSG00000139233	LLPH	7.0	3.0	4.0
ENSG00000139239	AC078814.1	18.0	50.0	27.0
ENSG00000139263	LRIG3	2.0	3.0	7.0
ENSG00000139266	MARCH9	3.0	4.0	6.0
ENSG00000139269	INHBE	2.0	0.7	0.6
ENSG00000139278	GLIPR1	12.0	5.0	4.0
ENSG00000139289	PHLDA1	21.0	4.0	17.0
ENSG00000139291	TMEM19	9.0	4.0	2.0
ENSG00000139318	DUSP6	3.0	2.0	18.0
ENSG00000139323	POC1B	4.0	9.0	4.0
ENSG00000139324	TMTC3	7.0	4.0	7.0
ENSG00000139329	LUM	0.5	0.1	
ENSG00000139343	SNRPF	24.0	27.0	12.0
ENSG00000139344	AMDHD1	3.0	0.3	
ENSG00000139350	NEDD1	11.0	15.0	10.0
ENSG00000139354	GAS2L3	1.0	8.0	0.1
ENSG00000139364	TMEM132B			0.1
ENSG00000139370	SLC15A4	6.0	4.0	7.0
ENSG00000139372	TDG	15.0	15.0	13.0
ENSG00000139405	RITA1	15.0	12.0	8.0
ENSG00000139410	SDSL	12.0	6.0	2.0
ENSG00000139428	MMAB	4.0	25.0	3.0
ENSG00000139433	GLTP	10.0	13.0	141.0
ENSG00000139436	GIT2	3.0	3.0	2.0
ENSG00000139437	TCHP	2.0	2.0	2.0
ENSG00000139438	FAM222A	1.0	0.1	0.1
ENSG00000139496	NUP58	7.0	15.0	18.0
ENSG00000139505	MTMR6	10.0	16.0	13.0
ENSG00000139508	SLC46A3	2.0	3.0	0.4
ENSG00000139514	SLC7A1	21.0	24.0	52.0
ENSG00000139517	LNX2	2.0	6.0	19.0
ENSG00000139531	SUOX	3.0	3.0	0.6
ENSG00000139537	CCDC65	0.3	0.2	
ENSG00000139546	TARBP2	11.0	12.0	3.0
ENSG00000139547	RDH16	0.1	0.3	0.2
ENSG00000139579	NABP2	34.0	39.0	13.0
ENSG00000139597	N4BP2L1		1.0	0.1
ENSG00000139613	SMARCC2	8.0	10.0	7.0
ENSG00000139618	BRCA2	1.0	4.0	0.2
ENSG00000139620	KANSL2	16.0	18.0	9.0
ENSG00000139624	CERS5	4.0	5.0	4.0
ENSG00000139625	MAP3K12	2.0	2.0	0.5
ENSG00000139626	ITGB7	0.1		1.0
ENSG00000139629	GALNT6	1.0	2.0	3.0
ENSG00000139631	CSAD	0.8	1.0	1.0
ENSG00000139636	LMBR1L	2.0	2.0	2.0
ENSG00000139637	C12orf10	19.0	20.0	7.0
ENSG00000139641	ESYT1	29.0	19.0	62.0
ENSG00000139644	TMBIM6	142.0	74.0	224.0
ENSG00000139645	ANKRD52	14.0	6.0	9.0
ENSG00000139651	ZNF740	4.0	4.0	3.0
ENSG00000139668	WDFY2	1.0	2.0	3.0
ENSG00000139675	HNRNPA1L2	0.6	1.0	0.9
ENSG00000139679	LPAR6	0.4	2.0	2.0
ENSG00000139684	ESD	27.0	101.0	16.0
ENSG00000139687	RB1	8.0	14.0	10.0
ENSG00000139697	SBNO1	10.0	3.0	5.0
ENSG00000139714	MORN3	0.1	0.3	0.5
ENSG00000139718	SETD1B	3.0	2.0	4.0
ENSG00000139719	VPS33A	5.0	4.0	2.0
ENSG00000139722	VPS37B	7.0	6.0	17.0
ENSG00000139725	RHOF	16.0	7.0	7.0
ENSG00000139726	DENR	34.0	30.0	26.0
ENSG00000139734	DIAPH3	2.0	16.0	0.3
ENSG00000139737	SLAIN1	0.2	0.7	
ENSG00000139746	RBM26	6.0	5.0	4.0
ENSG00000139793	MBNL2	8.0	7.0	9.0
ENSG00000139800	ZIC5	2.0		
ENSG00000139826	ABHD13	4.0	6.0	4.0
ENSG00000139832	RAB20	0.8	8.0	2.0
ENSG00000139835	GRTP1	0.9	2.0	5.0
ENSG00000139842	CUL4A	11.0	8.0	10.0
ENSG00000139880	CDH24	1.0	5.0	1.0
ENSG00000139890	REM2	0.1	0.1	0.1
ENSG00000139899	CBLN3	0.4	0.2	0.5
ENSG00000139910	NOVA1	1.0	0.5	
ENSG00000139921	TMX1	28.0	24.0	12.0
ENSG00000139926	FRMD6	5.0	10.0	18.0
ENSG00000139946	PELI2	0.9	0.1	0.5
ENSG00000139971	C14orf37	0.1	0.1	0.1
ENSG00000139973	SYT16	0.1	0.1	
ENSG00000139974	SLC38A6	6.0	4.0	0.8
ENSG00000139977	NAA30	5.0	3.0	5.0
ENSG00000139985	ADAM21	0.1	0.2	
ENSG00000139988	RDH12	0.1		3.0
ENSG00000139990	DCAF5	5.0	6.0	8.0
ENSG00000139998	RAB15	10.0	2.0	0.2
ENSG00000140006	WDR89	7.0	5.0	4.0
ENSG00000140022	STON2	0.1	2.0	3.0
ENSG00000140025	EFCAB11	0.8	2.0	0.3
ENSG00000140043	PTGR2	2.0	1.0	0.9
ENSG00000140044	JDP2	7.0	6.0	12.0
ENSG00000140057	AK7	0.8	0.7	0.1
ENSG00000140092	FBLN5	0.7	0.9	0.1
ENSG00000140104	C14orf79	4.0	2.0	2.0
ENSG00000140105	WARS	29.0	21.0	53.0
ENSG00000140153	WDR20	3.0	3.0	3.0
ENSG00000140157	NIPA2	46.0	19.0	19.0
ENSG00000140199	SLC12A6	3.0	3.0	9.0
ENSG00000140254	DUOXA1	0.1	0.8	6.0
ENSG00000140259	MFAP1	13.0	12.0	18.0
ENSG00000140262	TCF12	14.0	9.0	14.0
ENSG00000140263	SORD	8.0	4.0	4.0
ENSG00000140264	SERF2	31.0	68.0	44.0
ENSG00000140265	ZSCAN29	4.0	4.0	5.0
ENSG00000140279	DUOX2			0.3
ENSG00000140280	LYSMD2	13.0	8.0	2.0
ENSG00000140284	SLC27A2	44.0	1.0	1.0
ENSG00000140285	FGF7		0.1	0.2
ENSG00000140297	GCNT3	31.0		5.0
ENSG00000140299	BNIP2	12.0	8.0	15.0
ENSG00000140307	GTF2A2	32.0	39.0	16.0
ENSG00000140319	SRP14	85.0	137.0	97.0
ENSG00000140320	BAHD1	3.0	4.0	9.0
ENSG00000140323	DISP2	0.2	0.2	
ENSG00000140326	CDAN1	2.0	3.0	3.0
ENSG00000140332	TLE3	0.9	0.8	4.0
ENSG00000140350	ANP32A	25.0	12.0	13.0
ENSG00000140365	COMMD4	7.0	12.0	3.0
ENSG00000140367	UBE2Q2	25.0	25.0	14.0
ENSG00000140368	PSTPIP1		0.1	
ENSG00000140374	ETFA	45.0	58.0	13.0
ENSG00000140379	BCL2A1	8.0	0.9	0.1
ENSG00000140382	HMG20A	9.0	7.0	5.0
ENSG00000140386	SCAPER	0.8	2.0	0.8
ENSG00000140391	TSPAN3	43.0	16.0	14.0
ENSG00000140395	WDR61	15.0	18.0	2.0
ENSG00000140396	NCOA2	5.0	2.0	3.0
ENSG00000140398	NEIL1	0.2	0.5	0.3
ENSG00000140400	MAN2C1	4.0	3.0	3.0
ENSG00000140403	DNAJA4		2.0	4.0
ENSG00000140406	MESDC1	5.0	4.0	13.0
ENSG00000140416	TPM1	62.0	14.0	8.0
ENSG00000140443	IGF1R	21.0	3.0	6.0
ENSG00000140450	ARRDC4	0.4	1.0	34.0
ENSG00000140451	PIF1	0.5	3.0	0.1
ENSG00000140455	USP3	12.0	4.0	11.0
ENSG00000140459	CYP11A1		0.2	
ENSG00000140463	BBS4	13.0	9.0	3.0
ENSG00000140464	PML	1.0	4.0	3.0
ENSG00000140465	CYP1A1	0.1	0.7	1.0
ENSG00000140470	ADAMTS17			0.1
ENSG00000140471	LINS1	2.0	2.0	0.8
ENSG00000140474	ULK3	7.0	6.0	8.0
ENSG00000140479	PCSK6	2.0	0.4	0.9
ENSG00000140481	CCDC33	0.1		
ENSG00000140497	SCAMP2	15.0	12.0	32.0
ENSG00000140511	HAPLN3	4.0	1.0	0.3
ENSG00000140519	RHCG	9.0	0.1	31.0
ENSG00000140521	POLG	9.0	8.0	15.0
ENSG00000140522	RLBP1		0.1	
ENSG00000140525	FANCI	12.0	23.0	0.9
ENSG00000140526	ABHD2	18.0	7.0	7.0
ENSG00000140527	WDR93		0.1	
ENSG00000140534	TICRR	2.0	3.0	
ENSG00000140538	NTRK3	4.0		
ENSG00000140543	DET1	5.0	3.0	2.0
ENSG00000140545	MFGE8	39.0	11.0	8.0
ENSG00000140548	ZNF710	2.0	3.0	6.0
ENSG00000140553	UNC45A	10.0	7.0	12.0
ENSG00000140557	ST8SIA2	0.1		
ENSG00000140563	MCTP2		0.8	1.0
ENSG00000140564	FURIN	19.0	8.0	39.0
ENSG00000140575	IQGAP1	33.0	22.0	70.0
ENSG00000140577	CRTC3	3.0	4.0	4.0
ENSG00000140598	EFL1	11.0	7.0	5.0
ENSG00000140600	SH3GL3		0.2	0.1
ENSG00000140612	SEC11A	46.0	67.0	19.0
ENSG00000140632	GLYR1	11.0	8.0	14.0
