# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 FPKM in experiment E-MTAB-4101
# Selected columns: 6 (all)
# Timestamp: Wed, 06-Sep-2017 12:44:20
Gene ID	Gene Name	F-36P	HEL9217	K562	KU812	MEG01	UT-7
ENSG00000131473	ACLY	81.0	95.0	45.0	91.0	123.0	60.0
ENSG00000131475	VPS25	16.0	23.0	24.0	22.0	26.0	23.0
ENSG00000131480	AOC2	0.3	0.2	0.5	0.2	0.7	0.2
ENSG00000131484	AC091132.1	0.1		0.3	0.1	0.1	0.1
ENSG00000131495	NDUFA2	41.0	14.0	36.0	20.0	35.0	49.0
ENSG00000131503	ANKHD1	0.9	0.2	0.7	0.5	0.9	1.0
ENSG00000131504	DIAPH1	83.0	103.0	76.0	111.0	225.0	46.0
ENSG00000131507	NDFIP1	46.0	38.0	17.0	47.0	37.0	49.0
ENSG00000131508	UBE2D2	42.0	30.0	65.0	26.0	50.0	35.0
ENSG00000131558	EXOC4	8.0	11.0	11.0	9.0	8.0	7.0
ENSG00000131584	ACAP3	2.0	1.0	4.0	1.0	0.7	2.0
ENSG00000131591	C1orf159	2.0	2.0	4.0	2.0	2.0	2.0
ENSG00000131620	ANO1						0.5
ENSG00000131626	PPFIA1	5.0	4.0	8.0	5.0	4.0	6.0
ENSG00000131634	TMEM204						0.4
ENSG00000131650	KREMEN2	0.5	0.3	1.0	0.1	0.1	1.0
ENSG00000131652	THOC6	21.0	13.0	16.0	23.0	9.0	34.0
ENSG00000131653	TRAF7	47.0	26.0	32.0	21.0	27.0	31.0
ENSG00000131668	BARX1			0.1			0.1
ENSG00000131669	NINJ1	1.0	3.0	11.0	2.0	1.0	5.0
ENSG00000131697	NPHP4	1.0	1.0	2.0	1.0	2.0	2.0
ENSG00000131711	MAP1B	9.0	2.0	31.0		4.0	
ENSG00000131721	RHOXF2	0.1		52.0			
ENSG00000131724	IL13RA1	2.0	4.0	34.0		4.0	3.0
ENSG00000131725	WDR44	9.0	7.0	7.0	5.0	8.0	14.0
ENSG00000131730	CKMT2	0.2	0.2	0.1	0.1	0.1	
ENSG00000131732	ZCCHC9	6.0	4.0	8.0	4.0	4.0	7.0
ENSG00000131746	TNS4			0.2	0.2	0.8	2.0
ENSG00000131747	TOP2A	46.0	86.0	77.0	89.0	80.0	132.0
ENSG00000131748	STARD3	4.0	8.0	12.0	7.0	7.0	6.0
ENSG00000131759	RARA	10.0	28.0	8.0	5.0	9.0	7.0
ENSG00000131771	PPP1R1B				0.1		0.4
ENSG00000131773	KHDRBS3	0.1		0.1	0.4	2.0	
ENSG00000131778	CHD1L	31.0	32.0	23.0	22.0	19.0	35.0
ENSG00000131779	PEX11B	10.0	15.0	18.0	12.0	10.0	12.0
ENSG00000131781	FMO5	0.1	0.7	0.2	0.8	0.7	0.3
ENSG00000131788	PIAS3	2.0	3.0	5.0	3.0	3.0	5.0
ENSG00000131791	PRKAB2	6.0	6.0	11.0	2.0	2.0	4.0
ENSG00000131797	CLUHP3	0.7	0.2	4.0	0.6	0.4	2.0
ENSG00000131828	PDHA1	32.0	16.0	22.0	18.0	23.0	37.0
ENSG00000131831	RAI2					0.1	1.0
ENSG00000131844	MCCC2	29.0	20.0	15.0	17.0	32.0	17.0
ENSG00000131845	ZNF304	2.0	4.0	2.0	7.0	4.0	3.0
ENSG00000131848	ZSCAN5A	0.7	0.7	0.4	0.8	1.0	1.0
ENSG00000131849	ZNF132	2.0	0.6	1.0	4.0	0.7	
ENSG00000131871	SELENOS	12.0	10.0	19.0	7.0	8.0	5.0
ENSG00000131873	CHSY1	16.0	27.0	11.0	14.0	18.0	8.0
ENSG00000131876	SNRPA1	26.0	16.0	21.0	16.0	19.0	19.0
ENSG00000131899	LLGL1	3.0	4.0	5.0	2.0	3.0	7.0
ENSG00000131910	NR0B2	0.4	0.2	0.1			0.2
ENSG00000131914	LIN28A			0.6			
ENSG00000131931	THAP1	6.0	9.0	7.0	10.0	8.0	4.0
ENSG00000131941	RHPN2	0.2	2.0	2.0	0.1	4.0	0.5
ENSG00000131943	C19orf12	4.0	6.0	5.0	5.0	5.0	2.0
ENSG00000131944	FAAP24	4.0	3.0	4.0	4.0	5.0	4.0
ENSG00000131951	LRRC9					0.1	
ENSG00000131966	ACTR10	9.0	12.0	10.0	14.0	7.0	11.0
ENSG00000131969	ABHD12B	0.4	0.1				
ENSG00000131979	GCH1	0.3	2.0	9.0	2.0	1.0	5.0
ENSG00000131981	LGALS3	0.2	0.8	6.0	64.0	1.0	13.0
ENSG00000132000	PODNL1	0.1	0.2	0.3	0.1	0.1	0.8
ENSG00000132002	DNAJB1	11.0	19.0	27.0	39.0	46.0	61.0
ENSG00000132003	ZSWIM4	0.8	2.0	3.0	2.0	1.0	0.7
ENSG00000132004	FBXW9	4.0	3.0	3.0	7.0	9.0	5.0
ENSG00000132005	RFX1	5.0	1.0	4.0	5.0	4.0	5.0
ENSG00000132010	ZNF20	0.2	0.1		0.1	0.1	0.1
ENSG00000132016	C19orf57	1.0	0.4	0.7	0.5	0.4	3.0
ENSG00000132017	DCAF15	31.0	23.0	19.0	18.0	27.0	20.0
ENSG00000132024	CC2D1A	11.0	5.0	7.0	5.0	8.0	5.0
ENSG00000132026	RTBDN			0.3			0.1
ENSG00000132109	TRIM21	10.0	11.0	7.0	15.0	11.0	8.0
ENSG00000132122	SPATA6			0.1			
ENSG00000132128	LRRC41	13.0	16.0	14.0	16.0	19.0	9.0
ENSG00000132141	CCT6B	0.1	0.3	0.6	0.2	0.1	0.5
ENSG00000132153	DHX30	8.0	21.0	18.0	11.0	15.0	12.0
ENSG00000132155	RAF1	17.0	17.0	16.0	12.0	14.0	19.0
ENSG00000132164	SLC6A11		0.1				0.2
ENSG00000132182	NUP210	12.0	37.0	92.0	47.0	26.0	17.0
ENSG00000132185	FCRLA			3.0		0.1	
ENSG00000132196	HSD17B7	3.0	2.0	4.0	2.0	0.5	0.1
ENSG00000132199	ENOSF1	0.7	2.0	4.0	2.0	1.0	2.0
ENSG00000132204	LINC00470	0.1		5.0			
ENSG00000132205	EMILIN2	27.0	4.0	0.5	3.0	2.0	7.0
ENSG00000132207	SLX1A					0.1	0.1
ENSG00000132254	ARFIP2	9.0	6.0	7.0	6.0	7.0	5.0
ENSG00000132256	TRIM5	16.0	7.0	10.0	8.0	5.0	13.0
ENSG00000132259	CNGA4			0.1			
ENSG00000132274	TRIM22	2.0	2.0	0.1	0.6	2.0	0.3
ENSG00000132275	RRP8	5.0	3.0	5.0	3.0	3.0	3.0
ENSG00000132286	TIMM10B	17.0	10.0	21.0	12.0	14.0	6.0
ENSG00000132294	EFR3A	13.0	14.0	9.0	22.0	17.0	11.0
ENSG00000132297	HHLA1	0.1	0.1	0.1	0.1	0.1	0.2
ENSG00000132300	PTCD3	12.0	12.0	9.0	10.0	10.0	16.0
ENSG00000132305	IMMT	65.0	49.0	42.0	41.0	48.0	81.0
ENSG00000132313	MRPL35	16.0	14.0	18.0	14.0	21.0	22.0
ENSG00000132323	ILKAP	9.0	11.0	6.0	8.0	12.0	8.0
ENSG00000132326	PER2	1.0	4.0	2.0	3.0	3.0	2.0
ENSG00000132329	RAMP1		0.1	0.2	0.3		3.0
ENSG00000132330	SCLY	0.5	0.6	0.3	0.2	1.0	0.4
ENSG00000132334	PTPRE	0.3	0.4		0.9		0.1
ENSG00000132341	RAN	137.0	106.0	105.0	110.0	142.0	121.0
ENSG00000132356	PRKAA1	12.0	16.0	12.0	10.0	11.0	12.0
ENSG00000132357	CARD6	1.0	3.0	4.0	3.0	3.0	5.0
ENSG00000132359	RAP1GAP2	0.2	2.0	0.1	2.0	3.0	6.0
ENSG00000132361	CLUH	13.0	15.0	11.0	25.0	32.0	21.0
ENSG00000132376	INPP5K	3.0	4.0	4.0	4.0	5.0	4.0
ENSG00000132382	MYBBP1A	10.0	17.0	6.0	17.0	25.0	10.0
ENSG00000132383	RPA1	17.0	26.0	28.0	31.0	30.0	45.0
ENSG00000132386	SERPINF1	20.0	6.0	39.0	4.0	0.5	13.0
ENSG00000132388	UBE2G1	12.0	17.0	20.0	15.0	19.0	13.0
ENSG00000132394	EEFSEC	5.0	19.0	7.0	10.0	10.0	11.0
ENSG00000132405	TBC1D14	17.0	7.0	18.0	6.0	8.0	13.0
ENSG00000132406	TMEM128	13.0	14.0	12.0	7.0	5.0	8.0
ENSG00000132423	COQ3	9.0	11.0	15.0	10.0	8.0	19.0
ENSG00000132424	PNISR	9.0	7.0	6.0	7.0	7.0	9.0
ENSG00000132429	POPDC3	0.6		7.0		3.0	
ENSG00000132432	SEC61G	40.0	13.0	41.0	21.0	21.0	20.0
ENSG00000132434	LANCL2	4.0	2.0	2.0	6.0	3.0	5.0
ENSG00000132436	FIGNL1	3.0	4.0	7.0	5.0	4.0	4.0
ENSG00000132437	DDC			0.1	0.1		
ENSG00000132463	GRSF1	17.0	13.0	18.0	24.0	17.0	10.0
ENSG00000132466	ANKRD17	16.0	11.0	15.0	23.0	18.0	8.0
ENSG00000132467	UTP3	16.0	16.0	21.0	24.0	25.0	10.0
ENSG00000132470	ITGB4	0.1	0.5	0.5	0.7	0.1	3.0
ENSG00000132471	WBP2	24.0	31.0	29.0	25.0	21.0	44.0
ENSG00000132475	H3F3B	75.0	59.0	92.0	52.0	76.0	102.0
ENSG00000132478	UNK	9.0	8.0	7.0	8.0	7.0	15.0
ENSG00000132481	TRIM47	0.5	0.1	1.0	0.2	0.1	0.3
ENSG00000132485	ZRANB2	20.0	27.0	26.0	23.0	30.0	17.0
ENSG00000132507	EIF5A	127.0	152.0	153.0	248.0	267.0	213.0
ENSG00000132510	KDM6B	10.0	12.0	18.0	5.0	4.0	3.0
ENSG00000132514	CLEC10A			0.1			
ENSG00000132517	SLC52A1	0.1				0.1	
ENSG00000132522	GPS2	1.0	1.0	0.9	1.0	1.0	2.0
ENSG00000132530	XAF1	0.2	0.5		0.1		0.3
ENSG00000132535	DLG4	3.0	5.0	4.0	1.0	4.0	0.8
ENSG00000132541	RIDA	14.0	16.0	17.0	13.0	13.0	17.0
ENSG00000132549	VPS13B	4.0	5.0	4.0	6.0	3.0	3.0
ENSG00000132554	RGS22						0.1
ENSG00000132561	MATN2		0.2		0.1	0.1	
ENSG00000132563	REEP2	0.2		0.6	0.1	0.3	5.0
ENSG00000132570	PCBD2	2.0	0.8	2.0	1.0	1.0	2.0
ENSG00000132581	SDF2	3.0	7.0	13.0	9.0	8.0	4.0
ENSG00000132589	FLOT2	37.0	76.0	66.0	61.0	44.0	43.0
ENSG00000132591	ERAL1	19.0	35.0	42.0	26.0	33.0	17.0
ENSG00000132600	PRMT7	2.0	2.0	4.0	3.0	3.0	4.0
ENSG00000132603	NIP7	11.0	18.0	25.0	20.0	28.0	22.0
ENSG00000132604	TERF2	5.0	8.0	11.0	6.0	8.0	13.0
ENSG00000132612	VPS4A	10.0	11.0	17.0	8.0	10.0	14.0
ENSG00000132613	MTSS1L	2.0	3.0	9.0	1.0	4.0	17.0
ENSG00000132622	HSPA12B	0.1		0.2	0.3	0.1	0.1
ENSG00000132623	ANKEF1		1.0	2.0	0.7	0.4	
ENSG00000132635	PCED1A	15.0	11.0	4.0	7.0	4.0	8.0
ENSG00000132640	BTBD3	5.0	1.0	5.0	9.0	4.0	4.0
ENSG00000132646	PCNA	153.0	65.0	116.0	187.0	107.0	660.0
ENSG00000132661	NXT1	26.0	20.0	21.0	22.0	22.0	27.0
ENSG00000132664	POLR3F	6.0	3.0	4.0	5.0	4.0	6.0
ENSG00000132670	PTPRA	28.0	20.0	17.0	32.0	27.0	37.0
ENSG00000132676	DAP3	58.0	39.0	50.0	30.0	27.0	44.0
ENSG00000132677	RHBG		0.1				
ENSG00000132680	KIAA0907	9.0	8.0	9.0	7.0	5.0	7.0
ENSG00000132688	NES	0.1	0.5	9.0	0.1	0.1	
ENSG00000132692	BCAN	0.1	1.0	5.0	0.1	0.1	
ENSG00000132693	CRP		0.1				
ENSG00000132694	ARHGEF11	11.0	4.0	8.0	3.0	2.0	4.0
ENSG00000132698	RAB25	0.2		0.1			
ENSG00000132702	HAPLN2		0.1	0.5			
ENSG00000132716	DCAF8	8.0	9.0	7.0	11.0	7.0	8.0
ENSG00000132718	SYT11	2.0	5.0	0.1	1.0	3.0	2.0
ENSG00000132740	IGHMBP2	5.0	4.0	3.0	5.0	4.0	4.0
ENSG00000132749	TESMIN	1.0	3.0	5.0	7.0	2.0	6.0
ENSG00000132763	MMACHC	3.0	4.0	2.0	4.0	6.0	4.0
ENSG00000132768	DPH2	17.0	30.0	15.0	23.0	38.0	13.0
ENSG00000132773	TOE1	8.0	24.0	8.0	9.0	29.0	9.0
ENSG00000132780	NASP	37.0	31.0	25.0	30.0	35.0	36.0
ENSG00000132781	MUTYH	5.0	9.0	5.0	3.0	3.0	3.0
ENSG00000132792	CTNNBL1	45.0	58.0	8.0	46.0	53.0	33.0
ENSG00000132793	LPIN3	1.0	0.2	2.0	0.4		0.1
ENSG00000132801	ZSWIM3	5.0	4.0	3.0	3.0	2.0	4.0
ENSG00000132819	RBM38	35.0	43.0	39.0	50.0	55.0	76.0
ENSG00000132821	VSTM2L	0.1					
ENSG00000132823	OSER1	20.0	8.0	13.0	9.0	10.0	18.0
ENSG00000132824	SERINC3	40.0	32.0	38.0	38.0	30.0	55.0
ENSG00000132825	PPP1R3D	4.0	3.0	2.0	3.0	3.0	2.0
ENSG00000132832	LINC01260	0.1					
ENSG00000132837	DMGDH		0.1	0.1			
ENSG00000132842	AP3B1	15.0	10.0	15.0	11.0	15.0	10.0
ENSG00000132846	ZBED3	7.0	7.0		5.0	2.0	3.0
ENSG00000132849	PATJ		0.1			0.3	0.1
ENSG00000132874	SLC14A2	0.2	0.1		0.1		
ENSG00000132879	FBXO44	1.0	0.5	2.0	0.4	0.6	0.3
ENSG00000132881	RSG1	1.0	3.0	6.0	2.0	2.0	3.0
ENSG00000132906	CASP9	4.0	4.0	7.0	4.0	3.0	4.0
ENSG00000132911	NMUR2		0.1			0.1	
ENSG00000132912	DCTN4	13.0	15.0	29.0	15.0	20.0	16.0
ENSG00000132915	PDE6A	0.1	0.1	0.1	0.1		0.5
ENSG00000132932	ATP8A2		1.0		0.1		0.3
ENSG00000132938	MTUS2		0.1				2.0
ENSG00000132950	ZMYM5	2.0	8.0	5.0	4.0	4.0	3.0
ENSG00000132952	USPL1	3.0	9.0	3.0	8.0	9.0	4.0
ENSG00000132953	XPO4	6.0	14.0	6.0	12.0	14.0	4.0
ENSG00000132958	TPTE2	0.1	0.1				
ENSG00000132963	POMP	33.0	39.0	88.0	84.0	117.0	35.0
ENSG00000132964	CDK8	14.0	14.0	22.0	20.0	20.0	10.0
ENSG00000132965	ALOX5AP	0.4	5.0		3.0	0.2	
ENSG00000132967	HMGB1P5	2.0	3.0	2.0	8.0	7.0	6.0
ENSG00000132970	WASF3	0.2	5.0		1.0	0.1	3.0
ENSG00000133019	CHRM3		0.1	0.1			0.2
ENSG00000133026	MYH10	32.0	26.0	14.0	21.0	14.0	52.0
ENSG00000133027	PEMT	10.0	8.0	4.0	10.0	8.0	11.0
ENSG00000133028	SCO1	4.0	5.0	4.0	6.0	6.0	6.0
ENSG00000133030	MPRIP	7.0	7.0	6.0	7.0	7.0	11.0
ENSG00000133056	PIK3C2B	7.0	0.6	5.0	0.7	2.0	0.6
ENSG00000133059	DSTYK	8.0	13.0	7.0	10.0	4.0	7.0
ENSG00000133065	SLC41A1	6.0	5.0	4.0	11.0	7.0	37.0
ENSG00000133067	LGR6	0.5	0.1	0.1	0.5		0.3
ENSG00000133069	TMCC2	27.0	7.0	5.0	3.0	1.0	3.0
ENSG00000133101	CCNA1		0.1		0.4	7.0	
ENSG00000133103	COG6	2.0	5.0	3.0	4.0	4.0	2.0
ENSG00000133104	SPG20	10.0	17.0	10.0	16.0	18.0	9.0
ENSG00000133106	EPSTI1	3.0	4.0	0.2	5.0	0.6	1.0
ENSG00000133107	TRPC4				0.1		
ENSG00000133111	RFXAP	6.0	6.0	8.0	5.0	4.0	6.0
ENSG00000133112	TPT1	156.0	397.0	223.0	508.0	453.0	174.0
ENSG00000133114	GPALPP1	2.0	4.0	2.0	3.0	2.0	3.0
ENSG00000133119	RFC3	15.0	25.0	22.0	31.0	44.0	23.0
ENSG00000133121	STARD13	0.1	1.0		0.4	2.0	0.4
ENSG00000133131	MORC4	3.0	0.5	0.4	0.1	1.0	0.2
ENSG00000133134	BEX2	0.5	4.0	55.0	1.0	2.0	
ENSG00000133136	GNG5P2		0.2			0.1	
ENSG00000133138	TBC1D8B	0.5	1.0	0.6	0.6	0.8	0.4
ENSG00000133142	TCEAL4	3.0	9.0	4.0	4.0	8.0	11.0
ENSG00000133169	BEX1	1.0	22.0	0.2	55.0	0.1	
ENSG00000133193	FAM104A	10.0	9.0	10.0	15.0	14.0	13.0
ENSG00000133195	SLC39A11	7.0	6.0	4.0	10.0	9.0	3.0
ENSG00000133216	EPHB2						0.4
ENSG00000133226	SRRM1	18.0	17.0	13.0	18.0	20.0	22.0
ENSG00000133243	BTBD2	4.0	18.0	11.0	21.0	6.0	7.0
ENSG00000133246	PRAM1	0.3	0.4				
ENSG00000133247	KMT5C	4.0	3.0	8.0	4.0	2.0	7.0
ENSG00000133250	ZNF414	2.0	3.0	3.0	5.0	2.0	7.0
ENSG00000133256	PDE6B	0.8	0.1		1.0	0.4	2.0
ENSG00000133265	HSPBP1	15.0	20.0	33.0	38.0	38.0	27.0
ENSG00000133275	CSNK1G2	15.0	16.0	28.0	25.0	24.0	13.0
ENSG00000133302	SLF1	4.0	1.0	3.0	3.0	3.0	5.0
ENSG00000133313	CNDP2	8.0	15.0	10.0	10.0	23.0	4.0
ENSG00000133315	MACROD1	7.0	17.0	8.0	28.0	13.0	18.0
ENSG00000133316	WDR74	11.0	10.0	7.0	16.0	21.0	8.0
ENSG00000133317	LGALS12	1.0	0.4	4.0	2.0	0.2	0.7
ENSG00000133318	RTN3	84.0	64.0	83.0	58.0	54.0	42.0
ENSG00000133321	RARRES3	0.9	2.0	1.0	2.0	0.6	0.4
ENSG00000133392	MYH11			0.1			
ENSG00000133393	FOPNL	23.0	32.0	66.0	35.0	57.0	36.0
ENSG00000133398	MED10	21.0	28.0	53.0	11.0	13.0	30.0
ENSG00000133401	PDZD2		0.2				
ENSG00000133422	MORC2	18.0	12.0	7.0	12.0	14.0	13.0
ENSG00000133424	LARGE1	0.1				0.1	
ENSG00000133433	GSTT2B	0.1	1.0		0.1	2.0	0.3
ENSG00000133454	MYO18B	3.0	3.0	5.0	3.0		9.0
ENSG00000133460	SLC2A11	0.2	0.6	0.3	0.4	0.2	0.2
ENSG00000133466	C1QTNF6	0.3	0.9	0.4	0.1	0.1	0.4
ENSG00000133477	FAM83F	0.1			1.0		4.0
ENSG00000133488	SEC14L4	0.1			0.1		
ENSG00000133519	ZDHHC8P1		0.5	0.3			
ENSG00000133561	GIMAP6	0.5	4.0	0.1	3.0	5.0	0.3
ENSG00000133574	GIMAP4					0.1	
ENSG00000133597	ADCK2	2.0	4.0	15.0	3.0	3.0	7.0
ENSG00000133606	MKRN1	17.0	16.0	19.0	15.0	13.0	17.0
ENSG00000133612	AGAP3	9.0	5.0	9.0	4.0	6.0	6.0
ENSG00000133619	KRBA1	3.0	2.0	8.0	1.0	1.0	0.9
ENSG00000133624	ZNF767P	3.0	1.0	2.0	0.6	0.6	0.9
ENSG00000133627	ACTR3B	2.0	1.0	3.0	0.9	2.0	2.0
ENSG00000133636	NTS	200.0	8.0	0.3	3.0	12.0	0.5
ENSG00000133639	BTG1	4.0	3.0	30.0	3.0	7.0	10.0
ENSG00000133641	C12orf29	6.0	7.0	4.0	5.0	6.0	6.0
ENSG00000133657	ATP13A3	19.0	11.0	32.0	28.0	14.0	32.0
ENSG00000133661	SFTPD		0.2		0.1	0.1	
ENSG00000133665	DYDC2			0.1			0.2
ENSG00000133678	TMEM254	2.0	2.0	0.6	3.0	0.9	2.0
ENSG00000133687	TMTC1			0.1			0.1
ENSG00000133703	KRAS	9.0	14.0	10.0	7.0	8.0	11.0
ENSG00000133704	IPO8	12.0	12.0	11.0	11.0	9.0	19.0
ENSG00000133706	LARS	72.0	49.0	50.0	35.0	47.0	33.0
ENSG00000133710	SPINK5			0.4		0.3	
ENSG00000133731	IMPA1	11.0	16.0	13.0	12.0	11.0	3.0
ENSG00000133739	LRRCC1	5.0	6.0	8.0	5.0	2.0	6.0
ENSG00000133740	E2F5	2.0	5.0	3.0	3.0	2.0	0.7
ENSG00000133742	CA1	107.0	147.0	0.4	1023.0	130.0	227.0
ENSG00000133773	CCDC59	12.0	10.0	7.0	7.0	9.0	11.0
ENSG00000133789	SWAP70	23.0	11.0	3.0	6.0	5.0	7.0
ENSG00000133794	ARNTL	1.0	0.8	0.7	1.0	0.9	1.0
ENSG00000133800	LYVE1			0.5		0.8	
ENSG00000133805	AMPD3	6.0	1.0	3.0	4.0	3.0	3.0
ENSG00000133808	MICALCL	4.0	0.5	0.7	0.9	0.5	0.3
ENSG00000133812	SBF2	1.0	0.8	1.0	0.3	0.2	0.1
ENSG00000133816	MICAL2	21.0	7.0	12.0	6.0	6.0	6.0
ENSG00000133818	RRAS2	12.0	7.0	16.0	7.0	9.0	4.0
ENSG00000133835	HSD17B4	21.0	9.0	14.0	12.0	10.0	14.0
ENSG00000133858	ZFC3H1	10.0	6.0	6.0	4.0	5.0	7.0
ENSG00000133863	TEX15	2.0	3.0	4.0	0.7	2.0	0.1
ENSG00000133872	SARAF	52.0	48.0	79.0	122.0	67.0	44.0
ENSG00000133874	RNF122	3.0	4.0	1.0	3.0	2.0	1.0
ENSG00000133884	DPF2	10.0	18.0	12.0	15.0	17.0	11.0
ENSG00000133895	MEN1	14.0	21.0	11.0	25.0	25.0	16.0
ENSG00000133935	C14orf1	8.0	9.0	8.0	25.0	18.0	17.0
ENSG00000133943	C14orf159	3.0	8.0	3.0	8.0	3.0	5.0
ENSG00000133958	UNC79			0.1			0.1
ENSG00000133961	NUMB	4.0	3.0	6.0	6.0	4.0	5.0
ENSG00000133962	CATSPERB			0.9			
ENSG00000133983	COX16	6.0	5.0	4.0	15.0	12.0	8.0
ENSG00000133985	TTC9	0.4	0.6				
ENSG00000133997	MED6	3.0	5.0	4.0	11.0	7.0	7.0
ENSG00000134001	EIF2S1	15.0	20.0	38.0	53.0	28.0	20.0
ENSG00000134013	LOXL2	0.1	0.2	0.6	0.1		
ENSG00000134014	ELP3	12.0	15.0	14.0	24.0	14.0	10.0
ENSG00000134030	CTIF	0.3	2.0	2.0	3.0	4.0	1.0
ENSG00000134042	MRO			0.1			
ENSG00000134046	MBD2	10.0	10.0	9.0	8.0	19.0	9.0
ENSG00000134049	IER3IP1	16.0	15.0	16.0	11.0	15.0	14.0
ENSG00000134056	MRPS36	17.0	8.0	28.0	12.0	25.0	28.0
ENSG00000134057	CCNB1	66.0	27.0	46.0	51.0	89.0	99.0
ENSG00000134058	CDK7	16.0	7.0	23.0	8.0	10.0	19.0
ENSG00000134061	CD180	0.1	0.1	0.1	0.1	0.1	0.1
ENSG00000134070	IRAK2	6.0	0.1	3.0	1.0	0.6	0.5
ENSG00000134072	CAMK1	0.2	8.0	2.0	0.1		
ENSG00000134077	THUMPD3	11.0	9.0	19.0	7.0	6.0	9.0
ENSG00000134086	VHL	36.0	16.0	56.0	9.0	12.0	12.0
ENSG00000134107	BHLHE40	65.0	14.0	101.0	11.0	64.0	8.0
ENSG00000134108	ARL8B	46.0	39.0	89.0	21.0	24.0	30.0
ENSG00000134109	EDEM1	21.0	20.0	40.0	4.0	11.0	5.0
ENSG00000134138	MEIS2	4.0	8.0	3.0	0.5	0.8	4.0
ENSG00000134146	DPH6	2.0	1.0	1.0	1.0	0.7	1.0
ENSG00000134152	KATNBL1	6.0	4.0	3.0	5.0	4.0	3.0
ENSG00000134153	EMC7	38.0	26.0	34.0	29.0	39.0	38.0
ENSG00000134160	TRPM1				0.1		0.1
ENSG00000134183	GNAT2						0.2
ENSG00000134184	GSTM1		21.0				0.1
ENSG00000134186	PRPF38B	14.0	19.0	19.0	11.0	15.0	26.0
ENSG00000134198	TSPAN2		0.6			0.1	
ENSG00000134201	GSTM5		0.1				
ENSG00000134202	GSTM3	4.0	16.0	1.0	7.0	14.0	12.0
ENSG00000134207	SYT6	0.9					
ENSG00000134215	VAV3	8.0	17.0		8.0	13.0	4.0
ENSG00000134222	PSRC1	4.0	4.0	11.0	3.0	4.0	14.0
ENSG00000134242	PTPN22	13.0	10.0	2.0	6.0	14.0	3.0
ENSG00000134243	SORT1	20.0	2.0	48.0	3.0	11.0	5.0
ENSG00000134245	WNT2B	0.1	0.2	0.1			
ENSG00000134247	PTGFRN	0.1	7.0	10.0	4.0	10.0	
ENSG00000134248	LAMTOR5	30.0	26.0	30.0	26.0	34.0	109.0
ENSG00000134250	NOTCH2	12.0	16.0	0.1	12.0	18.0	13.0
ENSG00000134253	TRIM45	0.9	0.9	0.7	0.9	0.6	3.0
ENSG00000134255	CEPT1	5.0	4.0	7.0	5.0	4.0	4.0
ENSG00000134256	CD101		0.1	0.2		0.2	
ENSG00000134262	AP4B1	4.0	4.0	4.0	4.0	5.0	5.0
ENSG00000134265	NAPG	7.0	4.0	15.0	5.0	6.0	5.0
ENSG00000134278	SPIRE1		2.0	7.0		5.0	1.0
ENSG00000134283	PPHLN1	10.0	13.0	10.0	7.0	10.0	6.0
ENSG00000134285	FKBP11	2.0	0.8	0.6	1.0	0.5	0.5
ENSG00000134287	ARF3	41.0	68.0	59.0	19.0	43.0	42.0
ENSG00000134291	TMEM106C	24.0	25.0	23.0	11.0	15.0	37.0
ENSG00000134294	SLC38A2	75.0	74.0	151.0	31.0	38.0	32.0
ENSG00000134297	PLEKHA8P1	3.0	6.0	4.0	2.0	2.0	1.0
ENSG00000134308	YWHAQ	143.0	143.0	138.0	139.0	171.0	131.0
ENSG00000134313	KIDINS220	8.0	8.0	13.0	9.0	8.0	8.0
ENSG00000134317	GRHL1	2.0	0.1	2.0	0.1	0.1	0.2
ENSG00000134318	ROCK2	8.0	9.0	9.0	6.0	6.0	5.0
ENSG00000134321	RSAD2	5.0	4.0	0.8	5.0	17.0	0.6
ENSG00000134323	MYCN		8.0			0.2	
ENSG00000134324	LPIN1	4.0	6.0	7.0	0.7	2.0	2.0
ENSG00000134326	CMPK2	13.0	17.0	12.0	8.0	10.0	4.0
ENSG00000134330	IAH1	0.1	4.0	0.1	2.0	2.0	0.8
ENSG00000134333	LDHA	113.0	70.0	62.0	109.0	153.0	109.0
ENSG00000134343	ANO3			0.2		0.1	
ENSG00000134352	IL6ST	6.0	4.0	11.0	5.0	4.0	2.0
ENSG00000134363	FST	2.0	2.0	0.1	10.0	10.0	1.0
ENSG00000134365	CFHR4	0.1		0.2			
ENSG00000134369	NAV1	0.7	0.6	7.0	0.1	0.3	0.1
ENSG00000134371	CDC73	12.0	17.0	12.0	17.0	11.0	13.0
ENSG00000134375	TIMM17A	17.0	19.0	51.0	23.0	35.0	17.0
ENSG00000134376	CRB1		0.1				0.1
ENSG00000134419	RPS15A	51.0	83.0	93.0	87.0	99.0	74.0
ENSG00000134440	NARS	148.0	143.0	93.0	41.0	86.0	44.0
ENSG00000134444	KIAA1468	2.0	3.0	2.0	2.0	4.0	2.0
ENSG00000134452	FBXO18	10.0	10.0	14.0	10.0	20.0	10.0
ENSG00000134453	RBM17	20.0	15.0	19.0	13.0	33.0	14.0
ENSG00000134460	IL2RA			0.1	0.6	2.0	
ENSG00000134461	ANKRD16	4.0	2.0	2.0	2.0	3.0	2.0
ENSG00000134463	ECHDC3		0.8	8.0	7.0	4.0	
