Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[disease]	Characteristics[growth condition]	Characteristics[cell type]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[growth condition]
U937 BR2 CTR+LPS_RNA	ERS1560826	SAMEA92033668	Homo sapiens	U937	lymphoma	lipopolysaccharide only	monocyte	cell	P-MTAB-52390	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	U937 BR2 CTR+LPS_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	U937 BR2 CTR+LPS_RNA	sequencing assay	ERX1903037	20485_4_2.cram	20485_4_2.cram	ERR1841060	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/000/ERR1841060/ERR1841060_1.fastq.gz	150	76	lipopolysaccharide only
U937 BR2 CTR+LPS_RNA	ERS1560826	SAMEA92033668	Homo sapiens	U937	lymphoma	lipopolysaccharide only	monocyte	cell	P-MTAB-52390	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	U937 BR2 CTR+LPS_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	U937 BR2 CTR+LPS_RNA	sequencing assay	ERX1903037	20485_4_2.cram	20485_4_2.cram	ERR1841060	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/000/ERR1841060/ERR1841060_2.fastq.gz	150	76	lipopolysaccharide only
U937 BR2 CTR_RNA	ERS1560827	SAMEA92034418	Homo sapiens	U937	lymphoma	medium-only control	monocyte	cell	P-MTAB-52389	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	U937 BR2 CTR_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	U937 BR2 CTR_RNA	sequencing assay	ERX1903038	20485_4_1.cram	20485_4_1.cram	ERR1841061	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/001/ERR1841061/ERR1841061_1.fastq.gz	150	76	medium-only control
U937 BR2 CTR_RNA	ERS1560827	SAMEA92034418	Homo sapiens	U937	lymphoma	medium-only control	monocyte	cell	P-MTAB-52389	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	U937 BR2 CTR_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	U937 BR2 CTR_RNA	sequencing assay	ERX1903038	20485_4_1.cram	20485_4_1.cram	ERR1841061	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/001/ERR1841061/ERR1841061_2.fastq.gz	150	76	medium-only control
U937 BR2 PMA+LPS_RNA	ERS1560828	SAMEA92035168	Homo sapiens	U937	lymphoma	phorbol myristate acetate and lipopolysaccharide	monocyte	cell	P-MTAB-52387	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	U937 BR2 PMA+LPS_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	U937 BR2 PMA+LPS_RNA	sequencing assay	ERX1903039	20485_4_4.cram	20485_4_4.cram	ERR1841062	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/002/ERR1841062/ERR1841062_1.fastq.gz	150	76	phorbol myristate acetate and lipopolysaccharide
U937 BR2 PMA+LPS_RNA	ERS1560828	SAMEA92035168	Homo sapiens	U937	lymphoma	phorbol myristate acetate and lipopolysaccharide	monocyte	cell	P-MTAB-52387	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	U937 BR2 PMA+LPS_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	U937 BR2 PMA+LPS_RNA	sequencing assay	ERX1903039	20485_4_4.cram	20485_4_4.cram	ERR1841062	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/002/ERR1841062/ERR1841062_2.fastq.gz	150	76	phorbol myristate acetate and lipopolysaccharide
U937 BR2 PMA_RNA	ERS1560829	SAMEA92035918	Homo sapiens	U937	lymphoma	phorbol myristate acetate only	monocyte	cell	P-MTAB-52388	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	U937 BR2 PMA_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	U937 BR2 PMA_RNA	sequencing assay	ERX1903040	20485_4_3.cram	20485_4_3.cram	ERR1841063	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/003/ERR1841063/ERR1841063_1.fastq.gz	150	76	phorbol myristate acetate only
U937 BR2 PMA_RNA	ERS1560829	SAMEA92035918	Homo sapiens	U937	lymphoma	phorbol myristate acetate only	monocyte	cell	P-MTAB-52388	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	U937 BR2 PMA_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	U937 BR2 PMA_RNA	sequencing assay	ERX1903040	20485_4_3.cram	20485_4_3.cram	ERR1841063	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/003/ERR1841063/ERR1841063_2.fastq.gz	150	76	phorbol myristate acetate only
U937 BR2 VD3+LPS_RNA	ERS1560830	SAMEA92036668	Homo sapiens	U937	lymphoma	vitamin D3 and lipopolyssacharide	monocyte	cell	P-MTAB-52386	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	U937 BR2 VD3+LPS_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	U937 BR2 VD3+LPS_RNA	sequencing assay	ERX1903041	20485_4_6.cram	20485_4_6.cram	ERR1841064	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/004/ERR1841064/ERR1841064_1.fastq.gz	150	76	vitamin D3 and lipopolyssacharide
U937 BR2 VD3+LPS_RNA	ERS1560830	SAMEA92036668	Homo sapiens	U937	lymphoma	vitamin D3 and lipopolyssacharide	monocyte	cell	P-MTAB-52386	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	U937 BR2 VD3+LPS_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	U937 BR2 VD3+LPS_RNA	sequencing assay	ERX1903041	20485_4_6.cram	20485_4_6.cram	ERR1841064	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/004/ERR1841064/ERR1841064_2.fastq.gz	150	76	vitamin D3 and lipopolyssacharide
U937 BR2 VD3_RNA	ERS1560831	SAMEA92037418	Homo sapiens	U937	lymphoma	vitamin D3 only	monocyte	cell	P-MTAB-52385	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	U937 BR2 VD3_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	U937 BR2 VD3_RNA	sequencing assay	ERX1903042	20485_4_5.cram	20485_4_5.cram	ERR1841065	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/005/ERR1841065/ERR1841065_1.fastq.gz	150	76	vitamin D3 only
U937 BR2 VD3_RNA	ERS1560831	SAMEA92037418	Homo sapiens	U937	lymphoma	vitamin D3 only	monocyte	cell	P-MTAB-52385	Carl Fishwick	P-MTAB-52383	Carl Fishwick	P-MTAB-52384	Nathalie Smerdon	U937 BR2 VD3_RNA	PAIRED	cDNA_randomPriming	TRANSCRIPTOMIC	first strand	RNA-Seq	150	25	5'-3'-5'-3'	P-MTAB-52391	Nathalie Smerdon	U937 BR2 VD3_RNA	sequencing assay	ERX1903042	20485_4_5.cram	20485_4_5.cram	ERR1841065	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/005/ERR1841065/ERR1841065_2.fastq.gz	150	76	vitamin D3 only
